Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
0.16,1.99,1.5,1.86,3.75,0.0,30.32,0.0,8.021131291357689e-13,2.124908088380087e-12,1.2092157725664857e-12,0.6547152993516359,0.1
0.41,4.84,1.5,4.24,9.47,0.0,23.77,0.0,1.8516390081682213e-12,4.9653520847731434e-12,1.1477101290298893e-12,0.2691907945681313,0.1
0.57,6.79,1.5,5.61,11.76,0.0,15.87,0.0,2.621284429162539e-12,5.720879453634729e-12,1.1581521778332278e-12,0.19188268714429388,0.1
0.73,8.87,1.5,6.77,13.72,0.0,12.4,0.0,3.492800933127231e-12,6.213066674883168e-12,1.1813306425458503e-12,0.14688652150053613,0.1
0.9,10.9,1.5,7.77,14.8,0.0,9.63,0.0,4.278188749335542e-12,6.117615464792428e-12,1.1774831420189565e-12,0.11953059134951884,0.1
1.06,12.9,1.5,8.44,15.24,0.0,5.86,0.0,5.087717751342597e-12,5.7283036380875674e-12,1.1831901747308365e-12,0.10099871672168646,0.1
1.22,14.7,1.5,8.64,15.11,0.0,5.19,0.0,5.740163907930734e-12,5.015388855307522e-12,1.1714620220266804e-12,0.08863152691903096,0.1
1.47,16.8,1.5,8.08,15.9,0.0,3.02,0.0,6.222296236724028e-12,4.226051150908306e-12,1.1111243279864335e-12,0.0775525860541521,0.1
1.79,20.1,1.5,6.91,14.91,0.0,0.88,0.0,7.314565591826333e-12,2.8769094796099767e-12,1.0917262077352735e-12,0.06482007192585847,0.1
