Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
0.91,26.0,4.1,-3.26,30.14,0.0,60.69,0.0,2.407436043970606e-11,1.5797274803902044e-11,7.592682907907295e-12,0.13696979813871785
1.82,45.1,3.02,5.75,35.45,0.0,25.56,0.0,3.6218557602046244e-11,1.1777450456566296e-11,4.850556273090007e-12,0.058162719971078504
2.73,57.0,2.97,15.79,36.37,0.0,15.15,0.0,3.856883484645216e-11,1.0811056304567961e-11,4.019278578735541e-12,0.04525805653518098
3.63,62.0,2.85,22.36,38.25,0.0,9.97,0.0,3.4318334960352334e-11,1.0994552204541784e-11,3.1550727302259403e-12,0.039927073336266695
4.55,66.9,2.75,25.59,37.1,0.0,5.38,0.0,3.18779432921754e-11,9.566019058894849e-12,2.6207576697603093e-12,0.03570432960340635
5.45,70.6,2.86,27.95,35.74,0.0,3.28,0.0,2.9638918645334263e-11,8.443129738248887e-12,2.401340150868442e-12,0.0351864651060425
6.37,72.8,2.66,28.63,34.29,0.0,2.46,0.0,2.6963283692470788e-11,7.161150251403844e-12,1.970393808295942e-12,0.031736904446776085
7.28,73.3,2.66,31.18,33.63,0.0,1.53,0.0,2.3918064064883928e-11,6.845170677539495e-12,1.7359358912030354e-12,0.03152041805900818
8.18,74.3,2.67,32.26,33.14,0.0,0.0,0.0,2.187125875603137e-11,6.298670073746379e-12,1.571904734282739e-12,0.031213089278107193
