Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
0.87,26.6,4.4,0.0,6.92,0.0,10.79,0.0,2.635684821154486e-11,8.918922608664436e-13,8.71955880682687e-12,0.14367636995295546,0.1
1.74,45.2,2.7,0.0,10.96,0.0,8.69,0.0,3.805196391126873e-11,1.1186425102210086e-12,4.546031086744495e-12,0.051884738988441585,0.1
2.61,57.0,3.9,8.65,14.33,0.0,6.97,0.0,4.034211460950744e-11,2.2039403815752577e-12,5.520499893932596e-12,0.0594297712078134,0.1
3.5,69.3,3.0,16.06,16.78,0.0,5.78,0.0,4.446802894926306e-11,3.6917828028162445e-12,3.850045796472992e-12,0.03760125384443739,0.1
4.37,77.3,3.4,18.32,18.48,0.0,4.81,0.0,4.4312576850131954e-11,3.755281553729673e-12,3.898130951887416e-12,0.03820443049084233,0.1
5.24,80.7,3.9,22.41,20.02,0.0,4.19,0.0,4.0277753278767955e-11,4.3454168465540186e-12,3.893017045531475e-12,0.04197641832522136,0.1
6.11,84.0,3.0,23.49,21.36,0.0,3.64,0.0,3.7425431538397384e-11,4.136660635120558e-12,2.6732451098855274e-12,0.03102103442166084,0.1
6.98,85.0,3.0,25.65,22.68,0.0,3.22,0.0,3.354531571628096e-11,4.24882740246284e-12,2.367904638796303e-12,0.030656081075523655,0.1
7.85,85.7,3.4,24.46,24.0,0.0,2.82,0.0,3.0320854888307625e-11,3.658949633306872e-12,2.4058554637163576e-12,0.03445977219302348,0.1
