Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
2.61,179.0,14.7,8.52,197.55,118.24,455.38,0.0,3.9784601237403135e-10,3.6470662248979923e-10
5.24,195.0,6.8,19.72,177.52,83.47,58.82,0.0,2.3517296278768203e-10,1.3001847088482018e-10
7.85,181.0,9.8,23.38,148.4,68.2,14.08,0.0,1.3524989849476901e-10,6.115690038230246e-11
10.65,162.0,20.4,20.04,126.45,58.55,2.75,0.0,7.986010486922212e-11,3.2852295752627084e-11
13.47,145.0,9.6,20.8,110.59,52.06,0.23,0.0,5.0584546823621424e-11,2.031774834488671e-11
16.03,147.0,17.9,22.85,100.09,47.73,0.06,0.0,4.36868369786369e-11,1.4406271921253021e-11
18.58,150.0,21.0,23.38,92.33,44.33,0.0,0.0,3.924517439403106e-11,1.0787439832863884e-11
